,id,nom,sexe,naissance,race,pays,id_francegalop
94,95,IQUITOS                  ,M,2012,PS   ,GER,TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09
95,96,RELIABLE MAN             ,M,2008,PS   ,GB ,YkRwb2FOSTN4RktyWFJ3K1dLckVCZz09
96,97,JAPAN                    ,M,2016,PS   ,GB ,aER2UWw3NU5WUWlhNHZoRno1Y1FJdz09
97,98,LA BOUM                  ,F,2003,PS   ,GER,THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09
98,99,WORKFORCE                ,M,2007,PS   ,GB ,RXVXVUZDNTBmcW80a1lCNFBpa3Qwdz09
99,100,OCOVANGO                 ,M,2010,PS   ,GB ,YzBpaVBQcnZ4Nko1WmRudDg5eUVOUT09
100,101,FIEREMENT                ,M,2015,PS   ,JPN,cTI2WHFvOXhGY0pXUmJCSDBpRWgyQT09
101,102,MANATEE                  ,M,2011,PS   ,GB ,Y29qVCtTMmJzQXhZYzdvR1A5aVpUQT09
102,103,BRAMETOT                 ,M,2014,PS   ,IRE,M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09
103,104,DOLNIYA                  ,F,2011,PS   ,FR ,WWRNU2l1QUQ4YktjMkZQUFBJRysrdz09
104,105,HOT SIX                  ,M,2005,PS   ,BRZ,WTh4VFBlSHE5RWZCZEh2OFFWRmxGUT09
105,106,EAGLE TOP                ,M,2011,PS   ,GB ,Y1puWTl6ZGpLY2Fvd3UyTmMwQVhlZz09
106,107,ORFEVRE                  ,M,2008,PS   ,JPN,V0swazNFZzMvaCtad3ZUNTdiNmRVUT09
107,108,SAVOIR VIVRE             ,M,2013,PS   ,IRE,bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09
108,109,SPIRITJIM                ,M,2010,PS   ,FR ,WERKQUcxZHlmWnphSys3SjB4bXJSZz09
109,110,MIDAS TOUCH              ,M,2007,PS   ,GB ,dVl6cnIxd1ZTSlg0TVZJK0g4QnVKZz09
110,111,AVENTINO                 ,M,2004,PS   ,JPN,OVpZYW9WQ1g1cHY5RGhsUGxFSGpqQT09
111,112,PLUMATIC                 ,M,2014,PS   ,GB ,YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09
112,113,NAKAYAMA FESTA           ,M,2006,PS   ,JPN,L0tOWlRjUkdkbWttb3FXeXhpVktzZz09
113,114,THE GREY GATSBY          ,M,2011,PS   ,IRE,eGEzek1uazFKVHQvbHIvWTJPMzlRUT09
