Unnamed: 0,id,nom,sexe,naissance,race,pays,info,infoyear
172,VEo0Z2ttM2xvSGhIdFV6aUVOUjBIUT09,DEIRDRE,F,2014,PS,JPN,deirdre jpn f.ps. 6 a.,2020
173,czliWEdqRDNROWtwMmtHMThuN3JEdz09,ROYAL JULIUS,M,2013,PS,IRE,royal julius ire m.ps. 7 a.,2020
174,aE9ndDRLT1ZtMjZFQkJQb0x6MDZGUT09,CHACHNAK,M,2017,PS,FR,chachnak  m.ps. 3 a.,2020
175,aER2UWw3NU5WUWlhNHZoRno1Y1FJdz09,JAPAN,M,2016,PS,GB,JAPAN,2020
176,dVloNTQvczdqZUlRWWxqZjI2Tksxdz09,SOVEREIGN,M,2016,PS,IRE,SOVEREIGN,2020
177,bkl3RXJaS3dIdXk0OTdjZWFpby93dz09,MOGUL,M,2017,PS,GB,MOGUL,2020
178,akRHUjRXMk50TFVOcXRFZ3ZYUVU0dz09,SERPENTINE,M,2017,PS,IRE,SERPENTINE,2020
179,Rm8xbnU4bFU3SkNHTmUvajc2c0xYUT09,INTELLO,M,2010,PS,GER,intello (ger) m.ps. 3 a.,2013
180,UVFkMzhzblJXZ2pma04rVDRYTGV6dz09,KIZUNA,M,2010,PS,JPN,kizuna jpn m.ps. 3 a.,2013
181,c0hTZWZ6bWIyRHhkMEhsK3NYOTdZdz09,PENGLAI PAVILION,H,2010,PS,USA,penglai pavilion usa h.ps. 3 a.,2013
182,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,AL KAZEEM,M,2008,PS,GB,al kazeem gb m.ps. 5 a.,2013
183,T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09,RULER OF THE WORLD,M,2010,PS,IRE,ruler of the world ire m.ps. 3 a.,2013
184,ZWd4UmkyYTlrK25ZTGRQcFhBWUZ2QT09,GOING SOMEWHERE,M,2009,PS,BRZ,going somewhere brz m.ps. 4 a.,2013
185,a1hqWDF1YXFCdVFhNm45MjNSMzB5QT09,SAHAWAR,M,2010,PS,FR,sahawar  m.ps. 3 a.,2013
186,SW1mT05IeUpoYkVjSGl3M3BWbW9Tdz09,LEADING LIGHT,M,2010,PS,IRE,leading light ire m.ps. 3 a.,2013
187,WWxFUyt2Qmc4djI4VE9PM3FlRTAxQT09,JOSHUA TREE,M,2007,PS,IRE,joshua tree ire m.ps. 6 a.,2013
188,YzBpaVBQcnZ4Nko1WmRudDg5eUVOUT09,OCOVANGO,M,2010,PS,GB,ocovango gb m.ps. 3 a.,2013
189,ak04VG9jcmlLQ3gxQ2l5ZExmMGdBUT09,PIRIKA,F,2008,PS,IRE,pirika (ire) f.ps. 5 a.,2013
190,RWZHOFk2dm1RMytaUCtzTU4xZ0Q3QT09,VERY NICE NAME,M,2009,PS,FR,very nice name  m.ps. 4 a.,2013
191,WnJNU21TZ1VWeGkwQm1VaERpa2VKdz09,NOVELLIST,M,2009,PS,IRE,NOVELLIST,2013
192,T29BOHFrSVdxK0RGdGYzejBxNnZ6dz09,PEINTRE CELEBRE,M,1994,PS,USA,peintre celebre usa m.ps. 3 a.,1997
193,Ri9OeUVIOXBCWmtlSnZLZ3htQm03UT09,BORGIA,F,1994,PS,GER,borgia ger f.ps. 3 a.,1997
194,RWUra25OV0hpbno0VndHZ2cwTktjZz09,PREDAPPIO,M,1993,PS,GB,predappio gb m.ps. 4 a.,1997
195,RHo4V2NlSGlxNmVqWVhxZi9mVnpIUT09,QUE BELLE,F,1994,PS,CAN,que belle can f.ps. 3 a.,1997
196,WlBBRkdSeEt6ekVWTUtnMzZKazlmZz09,POSIDONAS,M,1992,PS,GB,posidonas gb m.ps. 5 a.,1997
197,WSt4QlI4dW1zYWF3VHEyeXhVNjBwUT09,BUSY FLIGHT,M,1993,PS,GB,busy flight gb m.ps. 4 a.,1997
198,bW1QcVNNQ1YvdHBrWEUyanJuYmRJQT09,STEWARD,M,1993,PS,FR,steward  m.ps. 4 a.,1997
199,NzRJWHlKM2c2Q2N0RitqNU1UQyszZz09,NOTHIN'LEICA DANE,M,1992,PS,AUS,nothin'leica dane aus m.ps. 5 a.,1997
200,MGV3bEM3OXF1SVRUeWloSlhCRTRsUT09,YOKOHAMA,M,1991,PS,USA,yokohama usa m.ps. 6 a.,1997
201,RHNZanF6WGpyWi9QcGJER2VERWJnUT09,MY EMMA,F,1993,PS,GB,my emma gb f.ps. 4 a.,1997
202,K25VT0dkK1preHVuYWlMNGpha3BZdz09,EBADIYLA,F,1994,PS,IRE,ebadiyla ire f.ps. 3 a.,1997
203,TjJRdjZld1RGQWRxTWpubmxFeTd5dz09,QUEEN MAUD,F,1994,PS,IRE,queen maud ire f.ps. 3 a.,1997
204,UU0rT3pmTDFIZVN6MGg5Wm9ISnpFUT09,GAZELLE ROYALE,F,1994,PS,FR,gazelle royale  f.ps. 3 a.,1997
205,T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09,TAGHROODA,F,2011,PS,GB,taghrooda gb f.ps. 3 a.,2014
206,MmZuaHFKMHNuc0RzbHJpN1Z3QUhEZz09,KINGSTON HILL,M,2011,PS,GB,kingston hill gb m.ps. 3 a.,2014
207,aVIvN05EZW12VkNJa3ZyN1dXTU80QT09,HARP STAR,F,2011,PS,JPN,harp star jpn f.ps. 3 a.,2014
208,RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09,JUST A WAY,M,2009,PS,JPN,just a way jpn m.ps. 5 a.,2014
209,REdDazBNSHVPeDUxRzdXNElncFVBQT09,AVENIR CERTAIN,F,2011,PS,FR,avenir certain  f.ps. 3 a.,2014
210,MlZBWmg3bVdCRmdqQzIxQ0lELzdIUT09,GOLD SHIP,M,2009,PS,JPN,gold ship jpn m.ps. 5 a.,2014
211,eTNtTHY4SXAxczc5ajZOTVp0OWxMZz09,CHICQUITA,F,2010,PS,IRE,chicquita (ire) f.ps. 4 a.,2014
212,Mlp1ejhKMHZENFhrUHlqanc5V3NFZz09,ECTOT,M,2011,PS,GB,ectot (gb) m.ps. 3 a.,2014
213,ZGpkOS83OFFpWmJZWm1VOUdRQzk3dz09,IVANHOWE,M,2010,PS,GER,ivanhowe ger m.ps. 4 a.,2014
214,c0U5QS90bmdJdFNCV3d6SWhEKzlRUT09,FREE PORT LUX,M,2011,PS,GB,free port lux (gb) m.ps. 3 a.,2014
215,NmlmTFY0WGZ6bTB0MGI1SkxLa2hwZz09,MONTVIRON,M,2011,PS,FR,MONTVIRON  M.PS. 3 a.,2014
216,L0QxVDM5Z1RTRngwcVZQRitlVHkyUT09,SINNDAR,M,1997,PS,IRE,sinndar ire m.ps.+,2000
217,bTF0a1pWZWQ3N29CUVFXMTVEM3NBQT09,EGYPTBAND,F,1997,PS,USA,egyptband usa f.ps. 3 a.,2000
