id,nom,sexe,naissance,race,pays,info,infoyear
TVVVTlREMCtHTGlhVDY2eTVOQWgwZz09,LE DESTIN,,0,,,le destin  m.ps. 3 a.,1996
MWdFM0xSdlRUanY2YU56bGdNb0N1UT09,SHAAMIT,,0,,,shaamit ire m.ps.+,1996
R2VBaHVicytuVkNpN2pZYzNWdWlNZz09,LEEDS,,0,,,leeds (ire) m.ps.+,1996
SWlKZFJ5a3FkSGdDcHdmQVo4RmowQT09,LEONILA,,0,,,leonila ire f.ps. 3 a.,1996
VUpUUWx4a3QyTmpiVVZzT0JoK3Q4QT09,PENTIRE,,0,,,pentire gb m.ps. 4 a.,1996
WXJuYlN5MGZ6clFyZmhvQjJ0RklVUT09,TAMURE,,0,,,tamure ire m.ps. 4 a.,1996
VUEzZ2xMNUZZd0ZBb2dvU2VHOWtDZz09,CLASSIC CLICHE,,0,,,classic cliche ire m.ps. 4 a.,1996
cE5pUUoxSitwdGM5STNUR3VmUGV5UT09,RADEVORE,,0,,,radevore gb m.ps. 3 a.,1996
bEVjQ24rSEsvSENHckljazNxc2Q5Zz09,DARAZARI,,0,,,darazari ire m.ps. 3 a.,1996
MHNITFFMYS9OR2g5Vkt2RHl6OHpPQT09,ZAGREB,,0,,,zagreb usa m.ps. 3 a.,1996
dUJXR1p5ci8wNnNDazZ5R0NxengyUT09,POLARIS FLIGHT,,0,,,polaris flight usa m.ps. 3 a.,1996
c3NrdkxkRTJ2bnpBU1Jkckt1M2VkQT09,SOLEMIA,F,2008,PS,IRE,solemia (ire) f.ps. 4 a.,2012
V0swazNFZzMvaCtad3ZUNTdiNmRVUT09,ORFEVRE,M,2008,PS,JPN,orfevre jpn m.ps. 4 a.,2012
eXB6YklZaWpoeitGVlN5Tko5MWdyQT09,MASTERSTROKE,M,2009,PS,USA,masterstroke usa m.ps. 3 a.,2012
alJjOVppdmZJZ2RTaGZFMmVqZVZlUT09,HAYA LANDA,F,2008,PS,FR,haya landa  f.ps. 4 a.,2012
