,Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
355,7,victoire pisa jpn m.ps. 3 a.,MnRZSnpld2dENHZCQlpydS9RZkRZZz09,19.0,Par: NEO UNIVERSE  et WHITEWATER AFFAIR (MACHIAVELLIAN),T (Corde:05),,Y. ICHIKAWA/T. YOSHIDA,K. SUMII,YUTAKA  TAKE,56 kg,,,,,,,SHADAI FARM
164,2,sea of class ire f.ps. 3 a.,MnlGN1A4ZHhhYWlLM3ZsVTBZaUhNdz09,19.0,Par: SEA THE STARS  et HOLY MOON (HERNANDO),CTE (Corde:15),,SUNDERLAND HOLDING INC.,WJ. HAGGAS,JAMES WILLIAM  DOYLE,55 kg,1.143.000,,,S,,,RAZZA DEL VELINO SRL
34,5,postponed ire m.ps. 5 a.,N3labVdLZXlaZHA2YVhtb2RrUmFidz09,2.0,Par: DUBAWI  et EVER RIGG (DUBAI DESTINATION),2.5 (Corde:07),,CHEIK MOHAMMED OBAID  AL MAKTOUM,R. VARIAN,ANDREA  ATZENI,"59,5kg",143.000,,,,,,ST. ALBANS BLOODSTOCK LIMITED
361,--,timos ger m.ps. 5 a.,N3pWTlNoMTFVRXd3R3hiVHV4SjVEdz09,8.0,Par: SHOLOKHOV  et TRICLARIA (SURUMU),(Corde:14),,SUC.  DE MORATALLA,T. DOUMEN (S),KIEREN-FRANCIS  FALLON,"59,5kg",,,,,,,GESTUT ETZEAN
397,--,holding court gb m.ps. 4 a.,NC9RNFdUenRDdDlWeldIV1JBK0twZz09,4.0,Par: HERNANDO  et INDIAN LOVE SONG (BE MY GUEST),(Corde:07),,J.R.  GOOD,SUC. MA. JARVIS,PHILIP-PETER  ROBINSON,"59,5kg",,,,,,,MME P. GOOD
334,6,vallee enchantee (ire) f.ps. 4 a.,NDFzWTc1WThONWp3a3BwbjY4VEg0dz09,7.0,Par: PEINTRE CELEBRE  et VERVEINE (LEAR FAN),1/2 (Corde:16),,ECURIE WILDENSTEIN,E. LELLOUCHE,STEPHANE  PASQUIER,58 kg,,,,,,1.0,DAYTON INVESTMENTS LTD
354,6,marinous  m.ps. 4 a.,NFVobmo3Zm4zNFZ5VHhzOGFXWkJtUT09,2.0,Par: NUMEROUS  et MARENDE (PANORAMIC),1.L (Corde:17),,SAEED NASSER  AL ROMAITHI,FRE. HEAD (S),MR DAVY  BONILLA,"59,5kg",,,,S,,,"D. ELIAS DE PROENCA, J. ELIAS DE PROENCA,MLLE V. ELIAS DE PROENCA"
324,--,tot ou tard ire m.ps.+,NGI3dlJia3phMkVScElneitxdUJrdz09,3.0,Par: ROBELLINO  et SHE'S MY LOVELY (SHARPO),(Corde:01),,ECURIE KURA,S. WATTEL,MR ERIC  SAINT-MARTIN,"59,5kg",,,,,,,M. KURA
59,14,seventh heaven ire f.ps. 4 a.,NHZoWlVHMUxmNmFIeUdTa09jbDB5dz09,13.0,Par: GALILEO  et LA TRAVIATA (JOHANNESBURG),1/2 (Corde:17),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,SUC. PATRICK JOSEPH  SMULLEN,58 kg,,,,,,4.0,LA TRAVIATA SYNDICATE
428,1,sagamix  m.ps. 3 a.,NS9GM3M5SEFXNjJrSjI0aUl2RzluQT09,8.0,Par: LINAMIX  et SAGANECA (SAGACE),(Corde:07),,SNC   LAGARDERE ELEVAGE,A. FABRE,OLIVIER  PESLIER,56 kg,609.796,,95.281,,,2.0,SNC  LAGARDERE ELEVAGE
448,7,duke of marmalade ire m.ps. 4 a.,NUd5ZTFPNUQwNmp4OGlsY0hwOVliQT09,7.0,Par: DANEHILL  et LOVE ME TRUE (KINGMAMBO),T (Corde:14),,MME JOHN MAGNIER/MICHAEL TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,"59,5kg",,,,,,1.0,SOUTHERN BLOODSTOCK
57,12,doha dream  m.ps. 4 a.,NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09,2.0,Par: SHAMARDAL  et CRYSTAL REEF (KING'S BEST),ENC (Corde:12),,AL SHAQAB RACING,A. FABRE (S),GREGORY  BENOIST,"59,5kg",,,,,,1.0,ECURIE HARAS BOUQUETOT SAS
328,--,el tenor  m.ps. 3 a.,NWU3UHRoSzVvOW5nSExYb1NTbkxVUT09,14.0,Par: BON SANG  et PRIMA SINFONIA (ACAMAS),(Corde:12),,NAJI  PHARAON,A. SPANU,MR STEPHANE  COERETTE,56 kg,,,,,,,N. PHARAON
382,--,masked marvel gb m.ps. 3 a.,NjZwRGF3YmhNc2pKbjZ0RTlTSC9IZz09,11.0,Par: MONTJEU  et WALDMARK (MARK OF ESTEEM),(Corde:05),,BJORN E.  NIELSEN,J. GOSDEN,WILLIAM  BUICK,56 kg,,,,S,,,NEWSELLS PARK STUD
92,2,westerner (gb) m.ps. 6 a.,NkRXM3c5TUloZ3BMSExvbkdyS2g4QT09,2.0,Par: DANEHILL  et WALENSEE (TROY),2.L (Corde:04),,ECURIE WILDENSTEIN,E. LELLOUCHE,OLIVIER  PESLIER,"59,5kg",411.480,,35.204,,,1.0,DAYTON INVESTMENTS LTD
286,4,doyen ire m.ps. 3 a.,NlJrb3dlZE1weW9WdEFNQjZEdmZudz09,10.0,Par: SADLER'S WELLS  et MOON CACTUS (KRIS),1.5 (Corde:04),,CHEIK MOHAMMED  AL MAKTOUM,A. FABRE,LANFRANCO  DETTORI,56 kg,91.36,,,,,,CHEIK MOBR. AL MAKTOUM
252,20,MONTVIRON  M.PS. 3 a.,NmlmTFY0WGZ6bTB0MGI1SkxLa2hwZz09,12.0,Par: LE HAVRE  et MANITA (PEINTRE CELEBRE),(Corde:11),,GERARD  AUGUSTIN-NORMAND,E. LELLOUCHE,CYRILLE  STEFAN,56 kg,,,,,,,FRANKLIN FINANCE S.A.
