id,annee,Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,4,siljan's saga  f.ps. 6 a.,aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09,9.0,Par: SAGAMIX  et HUMORISTE (SAINT CYRIEN),3/4 (Corde:03),,E. PALLUAT DE BESSET / E. TASSIN,JP. GAUVIN,PIERRE-CHARLES  BOUDOT,58 kg,285.500,,13.5,,,,SUC. A. OUVRY
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,5,postponed ire m.ps. 5 a.,N3labVdLZXlaZHA2YVhtb2RrUmFidz09,2.0,Par: DUBAWI  et EVER RIGG (DUBAI DESTINATION),2.5 (Corde:07),,CHEIK MOHAMMED OBAID  AL MAKTOUM,R. VARIAN,ANDREA  ATZENI,"59,5kg",143.000,,,,,,ST. ALBANS BLOODSTOCK LIMITED
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,6,one foot in heaven (ire) h.ps. 4 a.,RWR5RWt3QWVRWFdnRitibDhxbGh0UT09,5.0,Par: FASTNET ROCK  et PRIDE (PEINTRE CELEBRE),NEZ (Corde:09),,FAIR SALINIA LTD,A.DE ROYER DUPRE,CRISTIAN  DEMURO,"59,5kg",,,,,,,CRAIGAVON AGRO LTD
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,7,new bay gb m.ps. 4 a.,bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09,1.0,Par: DUBAWI  et CINNAMON BAY (ZAMINDAR),CTE (Corde:08),,SUC. KHALID  ABDULLAH,A. FABRE (S),VINCENT  CHEMINAUD,"59,5kg",,,,,,,JUDDMONTE FARMS IRELAND
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,8,savoir vivre ire m.ps. 3 a.,bDZjOTYzdnkvRUliV3dyKzYzMDZZZz09,15.0,Par: ADLERFLUG  et SOUDAINE (MONSUN),1.5 (Corde:10),,STALL ULLMANN,JP. CARVALHO,FREDERIK  TYLICKI,56 kg,,,,,,,STALL ULLMANN
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,9,harzand ire m.ps. 3 a.,ZlVKV1p1aVFreVFka3pCOWVHc3Jsdz09,11.0,Par: SEA THE STARS  et HAZARIYA (XAAR),7/4 (Corde:06),,H.H.   AGA KHAN,DK. WELD,SUC. PATRICK JOSEPH  SMULLEN,56 kg,,,,,,1.0,S.A.  AGA KHAN
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,10,vedevani  m.ps. 3 a.,TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09,12.0,Par: DUBAWI  et VADAWINA (UNFUWAIN),2.L (Corde:01),,H.H.   AGA KHAN,A.DE ROYER DUPRE,ALEXIS  BADEL,56 kg,,,,,,1.0,HARAS DE S.A. AGA KHAN SCEA
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,11,talismanic gb m.ps. 3 a.,Z2I5elZrWUt2dW1KQ0lvb2lvVFhTdz09,13.0,Par: MEDAGLIA D'ORO  et MAGIC MISSION (MACHIAVELLIAN),7.L (Corde:05),,DARLEY SNC,A. FABRE (S),MICKAEL  BARZALONA,56 kg,,,,,,,DARLEY STUD MANAGEMENT CO. LTD
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,12,left hand (gb) f.ps. 3 a.,czU4dVB6aEQxV01OeGNYMFpuaW11Zz09,16.0,Par: DUBAWI  et BALLADEUSE (SINGSPIEL),1.L (Corde:15),,WERTHEIMER & FRERE,C. LAFFON-PARIAS,MAXIME  GUYON,"54,5kg",,,,,,,WERTHEIMER & FRERE
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,13,silverwave  m.ps. 4 a.,eElISExrSmJ5bTJud3BsV0hIa09xdz09,7.0,Par: SILVER FROST  et MISS BIO (RIVER MIST),3/4 (Corde:04),,HSPIRIT,P. BARY (S),CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,"MLLE ML. COLLET, J. COLLET,MME M. COLLET"
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,14,makahiki jpn m.ps. 3 a.,eGFJU09vRmZhSTNoWmhCam95UkNWUT09,14.0,Par: DEEP IMPACT  et WIKIWIKI (FRENCH DEPUTY),3.L (Corde:14),,KANEKO MAKOTO HOLDINGS CO. LTD,Y. TOMOMICHI,CHRISTOPHE-PATRICE  LEMAIRE,56 kg,,,,,,,KANEKO MAKOTO HOLDINGS INC.
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,15,migwar (ire) m.ps. 4 a.,Rk1Hd2ZZNXgza0VvaHg5S01kZjBkUT09,3.0,Par: SEA THE STARS  et KATYUSHA (KINGMAMBO),5/4 (Corde:13),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,FRE. HEAD (S),OLIVIER  PESLIER,"59,5kg",,,,,,,V. TYMOSHENKO
NnJNYW1oY1JuTmNlUi9Wa2NaNXpsQT09,2016,16,the grey gatsby (ire) m.ps. 5 a.,eGEzek1uazFKVHQvbHIvWTJPMzlRUT09,6.0,Par: MASTERCRAFTSMAN  et MARIE VISON (ENTREPRENEUR),5/4 (Corde:02),,FRANCIS JOSEPH  GILLESPIE,KA. RYAN,JAMES WILLIAM  DOYLE,"59,5kg",,,,,,,M. PARRISH
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,1,enable gb f.ps. 3 a.,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09,17.0,Par: NATHANIEL  et CONCENTRIC (SADLER'S WELLS),(Corde:02),,SUC. KHALID  ABDULLAH,J. GOSDEN,LANFRANCO  DETTORI,55 kg,2.857.000,,,S,,,JUDDMONTE FARMS IRELAND
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,2,cloth of stars ire m.ps. 4 a.,c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09,5.0,Par: SEA THE STARS  et STRAWBERRY FLEDGE (KINGMAMBO),2.5 (Corde:03),,GODOLPHIN SNC,A. FABRE (S),MICKAEL  BARZALONA,"59,5kg",1.143.000,,,,,,P. ANASTASIOU
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,3,ulysses ire m.ps. 4 a.,cTd4UlF5R2FGTnRpR0tlNjRWY3RDdz09,4.0,Par: GALILEO  et LIGHT SHIFT (KINGMAMBO),5/4 (Corde:01),,FLAXMAN ST. IRE/CHEVELEY P.S.,SIR MR. STOUTE,JAMES VINCENT  CROWLEY,"59,5kg",571.500,,,,,,FLAXMAN STABLES IRELAND L.T.D
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,4,order of st george ire m.ps. 5 a.,SXFsNEYvUmtRVERCV2RSeE93Skl6UT09,12.0,Par: GALILEO  et ANOTHER STORM (GONE WEST),1.5 (Corde:09),,TABOR/SMITH/MAGNIER/WILLIAMS,AP. O'BRIEN,DONNACHA AIDAN  O'BRIEN,"59,5kg",285.500,,,,,2.0,PAGET BLOODSTOCK
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,5,brametot ire m.ps. 3 a.,M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09,14.0,Par: RAJSAMAN  et MORNING LIGHT (LAW SOCIETY),5/4 (Corde:04),,AL SHAQAB/G. AUGUSTIN-NORMAND,JC. ROUGET (S),CRISTIAN  DEMURO,"56,5kg",143.000,,,,,1.0,H. CARDEMIL
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,6,dschingis secret ger m.ps. 4 a.,K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09,8.0,Par: SOLDIER HOLLOW  et DIVYA (PLATINI),1/2 (Corde:10),,HORST  PUDWILL,M. KLUG,ADRIE DE VRIES,"59,5kg",,,,,,,GESTUT PARK WIEDINGEN
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,7,iquitos ger m.ps. 5 a.,TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09,11.0,Par: ADLERFLUG  et IRIKA (AREION),T (Corde:06),,STALL MULLIGAN,HJ. GROSCHEL,ANDRASCH  STARKE,"59,5kg",,,,,,,MME E. BUHMANN
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,8,idaho ire m.ps. 4 a.,TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09,7.0,Par: GALILEO  et HVEGER (DANEHILL),NEZ (Corde:07),,M.TABOR/D.SMITH/MME J.MAGNIER,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",,,,,,2.0,HVEGER SYNDICATE
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,9,winter ire f.ps. 3 a.,d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09,18.0,Par: GALILEO  et LADDIES POKER TWO (CHOISIR),ENC (Corde:08),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,RYAN-LEE  MOORE,55 kg,,,,,,,LADDIES POKER TWO SYNDICATE
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,10,zarak  m.ps. 4 a.,bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09,1.0,Par: DUBAWI  et ZARKAVA (ZAMINDAR),3/4 (Corde:18),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,S.A.  AGA KHAN
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,11,one foot in heaven (ire) h.ps. 5 a.,RWR5RWt3QWVRWFdnRitibDhxbGh0UT09,3.0,Par: FASTNET ROCK  et PRIDE (PEINTRE CELEBRE),ENC (Corde:11),,FAIR SALINIA LTD,A.DE ROYER DUPRE,JAMES WILLIAM  DOYLE,"59,5kg",,,,,,,CRAIGAVON AGRO LTD
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,12,doha dream  m.ps. 4 a.,NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09,2.0,Par: SHAMARDAL  et CRYSTAL REEF (KING'S BEST),ENC (Corde:12),,AL SHAQAB RACING,A. FABRE (S),GREGORY  BENOIST,"59,5kg",,,,,,1.0,ECURIE HARAS BOUQUETOT SAS
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,13,plumatic (gb) m.ps. 3 a.,YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09,16.0,Par: DUBAWI  et PLUMANIA (ANABAA),1.5 (Corde:14),,WERTHEIMER & FRERE,A. FABRE (S),MAXIME  GUYON,"56,5kg",,,,,,,WERTHEIMER & FRERE
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,14,seventh heaven ire f.ps. 4 a.,NHZoWlVHMUxmNmFIeUdTa09jbDB5dz09,13.0,Par: GALILEO  et LA TRAVIATA (JOHANNESBURG),1/2 (Corde:17),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,SUC. PATRICK JOSEPH  SMULLEN,58 kg,,,,,,4.0,LA TRAVIATA SYNDICATE
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,15,satono diamond jpn m.ps. 4 a.,WFRSdmloSlRtRmJXNGtORzR4ckFRQT09,9.0,Par: DEEP IMPACT  et MALPENSA (ORPEN),T (Corde:13),,HAJIME  SATOMI,Y. IKEE,CHRISTOPHE-PATRICE  LEMAIRE,"59,5kg",,,,,,3.0,NORTHERN RACING
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,16,satono noblesse jpn m.ps. 7 a.,cnphcHp4eGdSNHFJOVBFYk05MmZBZz09,10.0,Par: DEEP IMPACT  et CRY WITH JOY (TONY BIN),1/2 (Corde:05),,HAJIME  SATOMI,Y. IKEE,YUGA  KAWADA,"59,5kg",,,,,,3.0,MEJIRO STUD
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,17,capri ire m.ps. 3 a.,aVNwNVk4YjBqZis5Yjc4K1NKbHJOZz09,15.0,Par: GALILEO  et DIALAFARA (ANABAA),(Corde:15),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,WAYNE-MARTIN  LORDAN,"56,5kg",,,,,,4.0,"LYNCH-BAGES LTD,  CAMAS PARK STUD"
aVluMkQ4cXNQS3JEanlXR04vR2Rkdz09,2017,18,silverwave  m.ps. 5 a.,eElISExrSmJ5bTJud3BsV0hIa09xdz09,6.0,Par: SILVER FROST  et MISS BIO (RIVER MIST),(Corde:16),,MARTIN S. SCHWARTZ RACING,P. BARY (S),PIERRE-CHARLES  BOUDOT,"59,5kg",,,,,,,"MLLE ML. COLLET, J. COLLET,MME M. COLLET"
TVNuUy9QTG8zRis1WWg3bWdHYm5sdz09,2006,1,rail link gb m.ps. 3 a.,TFRBMCs2V2N4RXRvVEJJd20xY2loUT09,5.0,Par: DANSILI  et DOCKLANDS (THEATRICAL),(Corde:04),,SUC. KHALID  ABDULLAH,A. FABRE,STEPHANE  PASQUIER,56 kg,1.142.800,,,,,,JUDDMONTE FARMS IRELAND
TVNuUy9QTG8zRis1WWg3bWdHYm5sdz09,2006,2,pride  f.ps. 6 a.,Ymhld1Y4K1B0Ni81bEU2akFBK0MyZz09,4.0,Par: PEINTRE CELEBRE  et SPECIFICITY (ALLEGED),ENC (Corde:05),,FAIR SALINIA LTD,A.DE ROYER DUPRE,CHRISTOPHE-PATRICE  LEMAIRE,58 kg,457.200,,35.204,,,,FAIR SALINIA LTD
