,NumSire,NomCheval,Suffixe,Race,Sexe,AnneeNaissance,link
50,ZkZBbmwrWCt6TklKTHgzOCs5bnd5Zz09,SHAHAH                   ,GB ,PS   ,F,2012,/fr/cheval/ZkZBbmwrWCt6TklKTHgzOCs5bnd5Zz09
51,UTBLamNvYSs0QnZrWHJESXc2WDVkZz09,GRAND DUCAL              ,IRE,PS   ,M,2006,/fr/cheval/UTBLamNvYSs0QnZrWHJESXc2WDVkZz09
52,Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,AL KAZEEM                ,GB ,PS   ,M,2008,/fr/cheval/Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09
53,SXFsNEYvUmtRVERCV2RSeE93Skl6UT09,ORDER OF ST GEORGE       ,IRE,PS   ,M,2012,/fr/cheval/SXFsNEYvUmtRVERCV2RSeE93Skl6UT09
54,SlFKWldCajFReWxLNG1wbnNYbldDZz09,THE BOGBERRY             ,USA,PS   ,M,2005,/fr/cheval/SlFKWldCajFReWxLNG1wbnNYbldDZz09
55,M28yQnU3bHkvTy9DYUROOUxKL0hCQT09,TESTOSTERONE             ,IRE,PS   ,F,2008,/fr/cheval/M28yQnU3bHkvTy9DYUROOUxKL0hCQT09
56,RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09,JUST A WAY               ,JPN,PS   ,M,2009,/fr/cheval/RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09
57,OTE4NWgvczJmSkVIR0ROUnNpa09EZz09,KEW GARDENS              ,IRE,PS   ,M,2015,/fr/cheval/OTE4NWgvczJmSkVIR0ROUnNpa09EZz09
58,ZkZSOXRjWEVteXM3QXNBb1A2WUtZUT09,NEUFBOSC                 ,FR ,PS   ,M,2015,/fr/cheval/ZkZSOXRjWEVteXM3QXNBb1A2WUtZUT09
59,THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09,LA BOUM                  ,GER,PS   ,F,2003,/fr/cheval/THhiOWRPeDdkdHRkMFpuSkdhRDZGUT09
60,Z3M2ZFhJZVBwRDBGOTd5a3lVZVJ6QT09,CAPRI                    ,FR ,AQPS ,F,2012,/fr/cheval/Z3M2ZFhJZVBwRDBGOTd5a3lVZVJ6QT09
61,MnlGN1A4ZHhhYWlLM3ZsVTBZaUhNdz09,SEA OF CLASS             ,IRE,PS   ,F,2015,/fr/cheval/MnlGN1A4ZHhhYWlLM3ZsVTBZaUhNdz09
62,MmZuaHFKMHNuc0RzbHJpN1Z3QUhEZz09,KINGSTON HILL            ,GB ,PS   ,M,2011,/fr/cheval/MmZuaHFKMHNuc0RzbHJpN1Z3QUhEZz09
63,aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09,SARAFINA                 ,FR ,PS   ,F,2007,/fr/cheval/aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09
