Année,Vainqueur,S/A,Pays,Père,Jockey,Entraîneur,Propriétaire,Deuxième,Troisième,Quatrième,Cinquième,Temps
2001,Sakhee,M.4,Royaume-Uni,Bahri,Lanfranco Dettori,S. bin Suroor,Godolphin,Aquarelliste,Sagacity,Golan,Milan,"2'36""10"
2002,Marienbard,M.5,Royaume-Uni,Caerleon,Lanfranco Dettori,S. bin Suroor,Godolphin,Sulamani,High Chaparral,Califet,Islington,"2'26""70"
2003,Dalakhani,M.3,France,Darshaan,Christophe Soumillon,A.de Royer-Dupré,S.A. Aga Khan,Mubtaker,High Chaparral,Doyen,Vinnie Roe,"2'32""30"
2004,Bago,M.3,France,Nashwan,Thierry Gillet,Jonathan Pease,Succ.Niarchos,Cherry Mix,Ouija Board,Acropolis,North Light,"2'25""00"
2005,Hurricane Run,M.3,France,Montjeu,Kieren Fallon,André Fabre,Michael Tabor,Westerner,Bago,Shirocco,Motivator,"2'27""40"
2006,Rail Link,M.3,France,Dansili,S. Pasquier,André Fabre,Khalid Abdullah,Pride,Hurricane Run[9],Best Name,Irish Wells,"2'31""70"
2007,Dylan Thomas,M.4,Irlande,Danehill,Kieren Fallon,Aidan O'Brien,Coolmore,Youmzain,Sagara,Getaway,Soldier of Fortune,"2'28""50"
2008,Zarkava,F.3,France,Zamindar,Christophe Soumillon,A.de Royer-Dupré,S.A. Aga Khan,Youmzain,Soldier of FortuneIt's Gino[8],,Vision d'Etat,"2'28""80"
2009,Sea The Stars,M.3,Irlande,Cape Cross,Michael Kinane,John Oxx,Cristopher Tsui,Youmzain,Cavalryman,Conduit,Dar Re Mi,"2'26""30"
2010,Workforce,M.3,Royaume-Uni,King's Best,Ryan Moore,Sir Michael Stoute,Khalid Abdullah,Nakayama Festa,Sarafina,Bekhabad,Fame and Glory,"2'35""30"
2011,Danedream,F.3,Allemagne,Lomitas,Andrasch Starke,Peter Schiergen,Gest. B. Eberstein,Shareta,Snow Fairy,So You Think,St Nicholas Abbey,"2'24""49"
2012,Solemia,F.4,France,Poliglote,Olivier Peslier,C.Laffon-Parias,Wertheimer & Frère,Orfevre,Masterstroke,Haya Landa,Yellow and Green,"2'37""68"
2013,Trêve,F.3,France,Motivator,Thierry Jarnet,Christiane Head,Al Shaqab Racing,Orfevre,Intello,Kizuna,Penglai Pavilion,"2'32""04"
2014,Trêve,F.4,France,Motivator,Thierry Jarnet,Christiane Head,Al Shaqab Racing,Flintshire,Taghrooda,Kingston Hill,Dolniya,"2'26""05"
2015,Golden Horn,M.3,Royaume-Uni,Cape Cross,Lanfranco Dettori,John Gosden,A. E. Oppenheimer,Flintshire,New Bay,Trêve,Erupt,"2'27""23"
2016,Found,F.4,Irlande,Galileo,Ryan Moore,Aidan O'Brien,Coolmore,Highland Reel,Order of St George,Siljan's Saga,Postponed,"2'23""61"
2017,Enable,F.3,Royaume-Uni,Nathaniel,Lanfranco Dettori,John Gosden,Khalid Abdullah,Cloth of Stars,Ulysses,Order of St George,Brametot,"2'28""69"
2018,Enable,F.4,Royaume-Uni,Nathaniel,Lanfranco Dettori,John Gosden,Khalid Abdullah,Sea of Class,Cloth of Stars,Waldgeist,Capri,"2'29""24"
2019,Waldgeist,M.5,France,Galileo,Pierre-Charles Boudot,André Fabre,Gestüt Ammerland,Enable,Sottsass,Japan,Magical,"2'31""97"
2020,Sottsass,M.4,France,Siyouni,Cristian Demuro,Jean-Claude Rouget,White Birch Farm,In Swoop,Persian King,Gold Trip,Raabihah,"2'39""30"
