id,nom,arc_participation,arc_best_place,arc_worst_place,arc_avg_place
YjZpZDB0a1NCSGZsSjViT0RnUXNSZz09,HIGH CHAPARRAL,2,3.0,3.0,3.0
MUFIbDcwdEM1TWVuQXBnckRKL3EvZz09,BEHKABAD,2,2.0,4.0,3.0
a2d4UWRmNmlEL3lKWEExeGZMY2ROZz09,LEGGERA,2,2.0,4.0,3.0
SXFsNEYvUmtRVERCV2RSeE93Skl6UT09,ORDER OF ST GEORGE,2,3.0,4.0,3.5
NVRMa3p3MjduelJRSUxRRU0vU2xQZz09,HELISSIO,2,1.0,6.0,3.5
ZUNocmNGWVFTME9hN24zRjFwQy9MZz09,OSCAR SCHINDLER,2,3.0,4.0,3.5
aURsenJ5KzdvSGhpOXhLT2xvN0NjZz09,CARNEGIE,2,1.0,6.0,3.5
b1FicmRzR2x5dFVEd2JrVi9ERW1nQT09,CROCO ROUGE,2,3.0,4.0,3.5
UTFsekZtRUQ4TnNRTW4rck0zU1Zwdz09,FRAGRANT MIX,2,1.0,6.0,3.5
TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09,SOLDIER OF FORTUNE,2,3.0,5.0,4.0
R2JzOXpndkhFeWFsWVRHb3dHM0R6Zz09,WHITE MUZZLE,2,2.0,6.0,4.0
alFQYXlRZVR4cmdQZXM3ZVRNM1NSUT09,INTREPIDITY,2,4.0,4.0,4.0
cDlLZ3poRWZYOVZ0cVhSKzFSaHVSUT09,EZZOUD,2,4.0,4.0,4.0
Y2s5ZWxMbTd0SGo3TU1SejBhRUhHdz09,AQUARELLISTE,2,2.0,6.0,4.0
KzF6Y3V2TDE4YTUwS054TEJjWC83Zz09,TIGER HILL,2,3.0,5.0,4.0
RjBiUHlWMCs1OFJJb3NOd09HdytWdz09,FOUND,2,1.0,9.0,5.0
dldoMUVGaE40ZlJLN21YaWkwdXhUQT09,ST NICHOLAS ABBEY,2,5.0,5.0,5.0
TXBPQlhTdWpIdnE4amFzc3lvd1BtZz09,BRIGHT MOON,2,5.0,5.0,5.0
Q3Y2c2JyZ0IwdVhVYnhMRnk1UHVFZz09,STUDY OF MAN,2,1.0,9.0,5.0
Ri9OeUVIOXBCWmtlSnZLZ3htQm03UT09,BORGIA,2,3.0,7.0,5.0
UU0rT3pmTDFIZVN6MGg5Wm9ISnpFUT09,GAZELLE ROYALE,2,5.0,5.0,5.0
Vmo0cmJtL052cGU0aW4xUVVPNEV4dz09,GALIKOVA,2,1.0,9.0,5.0
UE5CN0FVb2pEckhpVU1NeWNFNHNDQT09,SHIROCCO,2,4.0,7.0,5.5
U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09,CAVALRYMAN,2,3.0,8.0,5.5
UE15eDlDeGYrMHBMcDRYTEJZaHk3dz09,FAME AND GLORY,2,5.0,6.0,5.5
dWFMZFVIYkVPaHBSMlNDM1BlbVNLQT09,MUBTAKER,2,2.0,9.0,5.5
Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09,SHARETA,2,2.0,9.0,5.5
TVVVTlREMCtHTGlhVDY2eTVOQWgwZz09,LE DESTIN,2,6.0,6.0,6.0
dFhkeERHK0JNRWpQUnQzdTE3dmp4dz09,ONLY ROYALE,2,5.0,7.0,6.0
UWhuTjRaQjZpUGVHT1hLb0NjdVpTQT09,HIGHTORI,2,5.0,7.0,6.0
KzhDK2dKUjVJM0p2eUw1VFUvT0ZSQT09,LANDO,2,4.0,8.0,6.0
REdDazBNSHVPeDUxRzdXNElncFVBQT09,AVENIR CERTAIN,2,2.0,11.0,6.5
T0FSOXFzQ0VpbVNickZvcm15c0FvQT09,PRINCE GIBRALTAR,2,7.0,7.0,7.0
czU4dVB6aEQxV01OeGNYMFpuaW11Zz09,LEFT HAND,2,2.0,12.0,7.0
bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09,ZARAK,2,5.0,10.0,7.5
YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09,PLUMATIC,2,2.0,13.0,7.5
RkdjY3JKQldKa3lmQjkxaTkxNGYxUT09,VISION D'ETAT,2,5.0,10.0,7.5
SVBpN2FvMnJyN1hZYkJ2dUNVRWxDUT09,MAGICAL,2,5.0,10.0,7.5
L1Z1bVhvZ3VMNlQ5eDdOYVJVRXU2dz09,ZAMBEZI SUN,2,8.0,8.0,8.0
Wjl1NWVXZGlWdlI4dUJwSndENFY2QT09,AL KAZEEM,2,6.0,10.0,8.0
T284Ny8xbGpaUUxSQXhJUDcrNTl4dz09,RULER OF THE WORLD,2,7.0,9.0,8.0
eW9wL1M0ajNpYjhGTkRXb2RXNWx4Zz09,BLACK SAM BELLAMY,2,6.0,10.0,8.0
TDZWWU5GekZ4dWRDVzVobkh4Mk0xUT09,ANABAA BLUE,2,7.0,9.0,8.0
cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,WIENER WALZER,2,8.0,8.0,8.0
RWR5RWt3QWVRWFdnRitibDhxbGh0UT09,ONE FOOT IN HEAVEN,2,6.0,11.0,8.5
MFgydTJBQmZoaUdDTVZKaTdDUkFCUT09,WARRSAN,2,8.0,9.0,8.5
WWRNU2l1QUQ4YktjMkZQUFBJRysrdz09,DOLNIYA,2,5.0,13.0,9.0
Rm4yclZydUFyWTBBTFNaaDVPN09NUT09,VERT AMANDE,2,9.0,9.0,9.0
ZWd4UmkyYTlrK25ZTGRQcFhBWUZ2QT09,GOING SOMEWHERE,2,9.0,9.0,9.0
WlBBRkdSeEt6ekVWTUtnMzZKazlmZz09,POSIDONAS,2,9.0,9.0,9.0
Mlp1ejhKMHZENFhrUHlqanc5V3NFZz09,ECTOT,2,1.0,17.0,9.0
RlZKZW5yTVkxQ2VLUG1OSTlMMytGZz09,WAY TO PARIS,2,9.0,11.0,10.0
alJjOVppdmZJZ2RTaGZFMmVqZVZlUT09,HAYA LANDA,2,4.0,17.0,10.5
ak04VG9jcmlLQ3gxQ2l5ZExmMGdBUT09,PIRIKA,2,6.0,15.0,10.5
aVNwNVk4YjBqZis5Yjc4K1NKbHJOZz09,CAPRI,2,5.0,17.0,11.0
Z2I5elZrWUt2dW1KQ0lvb2lvVFhTdz09,TALISMANIC,2,11.0,13.0,12.0
ZGpkOS83OFFpWmJZWm1VOUdRQzk3dz09,IVANHOWE,2,6.0,18.0,12.0
a3ZsWE50QllNQ2p2M1hxM2pUQ2d2QT09,TAPESTRY,2,13.0,16.0,14.5
eUN1b2p2LzY1blY2Y2NKV2JVWk5YUT09,DANCIENNE,2,,,
SHpmdDVUam5PNDMyOTJuWDJBVUFidz09,GOLDEN HORN,1,1.0,1.0,1.0
c2hTVHkvbXJ6clRTR3UwTlZMRDJOUT09,DYLAN THOMAS,1,1.0,1.0,1.0
TFRBMCs2V2N4RXRvVEJJd20xY2loUT09,RAIL LINK,1,1.0,1.0,1.0
c3NOZGpYL21vTnJBVXo4NXJaZWdRdz09,SEA THE STARS,1,1.0,1.0,1.0
c3NrdkxkRTJ2bnpBU1Jkckt1M2VkQT09,SOLEMIA,1,1.0,1.0,1.0
QVBjY3U4T0hlMHhpcHpRQndEKzQwUT09,URBAN SEA,1,1.0,1.0,1.0
T29BOHFrSVdxK0RGdGYzejBxNnZ6dz09,PEINTRE CELEBRE,1,1.0,1.0,1.0
L0QxVDM5Z1RTRngwcVZQRitlVHkyUT09,SINNDAR,1,1.0,1.0,1.0
ckY1NENrK295WjZodi9ZOVFBWjhVZz09,DALAKHANI,1,1.0,1.0,1.0
Q09vZGtmR2t2T1Q5UHIvNldWVTNkZz09,MARIENBARD,1,1.0,1.0,1.0
d3ZkNDdhdEIwU291cEMydDdRc3NqQT09,LAMMTARRA,1,1.0,1.0,1.0
Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09,DANEDREAM,1,1.0,1.0,1.0
dFdtYXAvbk1SMUxyOHI0L1R5U1NpQT09,SAKHEE,1,1.0,1.0,1.0
NS9GM3M5SEFXNjJrSjI0aUl2RzluQT09,SAGAMIX,1,1.0,1.0,1.0
NkRXM3c5TUloZ3BMSExvbkdyS2g4QT09,WESTERNER,1,2.0,2.0,2.0
MnlGN1A4ZHhhYWlLM3ZsVTBZaUhNdz09,SEA OF CLASS,1,2.0,2.0,2.0
OEtVY3N1ZmxHVTNwUTlQVWdDdXZDZz09,IN SWOOP,1,2.0,2.0,2.0
bks5ejRHSWhPa3o0R2pPY3MzR3lnQT09,SULAMANI,1,2.0,2.0,2.0
OWlHaU9CYlJPeXVITy84SHFDeWlvZz09,FREEDOM CRY,1,2.0,2.0,2.0
cEZDR25PdjRiTEk2OUlsVmgvS1VHQT09,EL CONDOR PASA,1,2.0,2.0,2.0
QU9BR0xQQzRVK3BVSjBVS0tHaWVZUT09,SAGARA,1,3.0,3.0,3.0
cTd4UlF5R2FGTnRpR0tlNjRWY3RDdz09,ULYSSES,1,3.0,3.0,3.0
eXB6YklZaWpoeitGVlN5Tko5MWdyQT09,MASTERSTROKE,1,3.0,3.0,3.0
Z3hBWVB1RWpmV20xa3MrcnVnVFFkUT09,OPERA HOUSE,1,3.0,3.0,3.0
Rm8xbnU4bFU3SkNHTmUvajc2c0xYUT09,INTELLO,1,3.0,3.0,3.0
T2ZmWGFFYXYxWWQ2LzBDdXY0WWR5QT09,TAGHROODA,1,3.0,3.0,3.0
ZXh0dk9yUXEzcEJtTXR4SWZTK1drdz09,VOLVORETA,1,3.0,3.0,3.0
R3kwbmR3ZnRKYlpjR2NuOG5OcmJ4UT09,APPLE TREE,1,3.0,3.0,3.0
VkNNTVc2bnJoWTg2dHVjMEFoWnU2dz09,OUIJA BOARD,1,3.0,3.0,3.0
aEI5WHVyaVVDWGtHZExZWjlOUnBZZz09,SNOW FAIRY,1,3.0,3.0,3.0
VG45RTdmYTlwV3U1ZnV6T0dLdDhaUT09,SAGACITY,1,3.0,3.0,3.0
MjlMSlBkbnpHN0NCNXZ3aklVbG5jQT09,IT'S GINO,1,3.0,3.0,3.0
K3JEdDhSdVhKdENiTUZtUzllY0JuQT09,BEST NAME,1,4.0,4.0,4.0
