Place,Cheval,ChevalId,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs
--,big tobin ity m.ps. 5 a.,ZC83a3A2aGhuamwySzFzc3BXdG5Pdz09,0,Par: BIG REEF  et DARING TOBIN (J O TOBIN),(Corde:15),,SCUDERIA LADY COSTANZA,SUC. L. CAMICI,MAURIZIO  PASQUALE,59 kg,,,,,,,ALLEVAMENTO WHITE STAR S.R.L.
--,broadway flyer usa m.ps. 3 a.,MWFpNGd0NUlONzVmNFJXTnZtUWZNQT09,0,Par: THEATRICAL  et SERENA (JAN EKELS),(Corde:06),,SULTAN  AL KABEER,SUC. JW. HILLS,MICHAEL  HILLS,56 kg,,,,,,,"STONEREATH FARMS INC., G. PLAYER,SUC. A. PAULSON"
--,celtic arms  m.ps.+,VHdMRTIwSU5ob1NRRkgzK2dSUHJ0dz09,0,Par: COMRADE IN ARMS  et AMOUR CELTIQUE (NORTHFIELDS),(Corde:13),,JEAN-LOUIS  BOUCHARD,P. BARY,GERALD  MOSSE,56 kg,,,,,,,G. WEGLISZEWSKI
--,dancienne  f.ps. 4 a.,eUN1b2p2LzY1blY2Y2NKV2JVWk5YUT09,0,Par: GROOM DANCER  et TERMIENNE (ARMOS),(Corde:18),,HIDEO  YOKOYAMA,E. LELLOUCHE,YUKIO  OKABE,"57,5kg",,,,,,,"MME N. SARMANT-PIAU, ML. WARNER JR,SUC. C. SARMANT"
--,intrepidity gb f.ps. 4 a.,alFQYXlRZVR4cmdQZXM3ZVRNM1NSUT09,0,Par: SADLER'S WELLS  et INTREPID LADY (BOLD RULER),(Corde:08),,CHEIK MOHAMMED  AL MAKTOUM,A. FABRE,SUC. PAT  EDDERY,"57,5kg",,,,,,,MJ. RYAN
--,much better brz m.ps. 5 a.,K3o3Y1FXOGprcU8zL3RsRi8rUDU5Zz09,0,Par: BAYNOUN  et CHARMING DOLL (BRAC),(Corde:14),,TNT STUD,JL. MACIEL,JORGE ANTONIO  RICARDO,59 kg,,,,,,,HARAS J.B. BARROS
--,richard of york gb m.ps. 4 a.,bUlBamI5VHo0ajdiR2cvMGVUc2M4Zz09,0,Par: RAINBOW QUEST  et TRIPLE FIRST (HIGH TOP),(Corde:17),,CHEIK MOHAMMED  AL MAKTOUM,A. FABRE,MR SYLVAIN  GUILLOT,59 kg,,,,,,,BLACK HILLS STUD LTD
--,sierra madre  f.ps. 3 a.,Q1QwZzNuaU9RSFFwdENWR2RlR1R2dz09,0,Par: BAILLAMONT  et MARIE D'IRLANDE (KALAMOUN),(Corde:16),,JEAN-LOUIS  BOUCHARD,P. BARY,MR FREDERIC  HEAD,"54,5kg",,,,,,,BLOODSTOCK AGENCY LTD
--,truly a dream ire f.ps. 3 a.,MVR3S3I5dlArdUFoeU5HUy92cnI3dz09,0,Par: DARSHAAN  et TRULY SPECIAL (CAERLEON),(Corde:19),,R.C.  STRAUSS,ROB. COLLET,MR GUY  GUIGNARD,"54,5kg",,,,,,,RM. AUBERT
--,vert amande  m.ps. 6 a.,Rm4yclZydUFyWTBBTFNaaDVPN09NUT09,0,Par: KENMARE  et LADY BERRY (VIOLON D'INGRES),(Corde:11),,SUC. ENRIQUE  SARASOLA,E. LELLOUCHE,MR DOMINIQUE  BOEUF,59 kg,,,,,,,SUC. G.DE ROTHSCHILD
