Place,Cheval,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs,Année,fg_id
4,behkabad  m.ps. 3 a.,14,Par: CAPE CROSS  et BEHKARA (KRIS),1.5 (Corde:09),,S.A.   AGA KHAN,JC. ROUGET-(S),CHRISTOPHE-PATRICE  LEMAIRE,56 kg,228.400,,8.793,,,3,S.A.  AGA KHAN,2010,MUFIbDcwdEM1TWVuQXBnckRKL3EvZz09
5,fame and glory gb m.ps. 4 a.,03,Par: MONTJEU  et GRYADA (SHIRLEY HEIGHTS),1.L (Corde:01),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOHN-PATRICK  MURTAGH,"59,5kg",114.400,,,,,1,"PTARMIGAN BLOODSTOCK LTD,MLLE K. RAUSING",2010,UE15eDlDeGYrMHBMcDRYTEJZaHk3dz09
6,marinous  m.ps. 4 a.,02,Par: NUMEROUS  et MARENDE (PANORAMIC),1.L (Corde:17),,SAEED NASSER  AL ROMAITHI,FRE. HEAD (S),MR DAVY  BONILLA,"59,5kg",,,,S,,,"D. ELIAS DE PROENCA, J. ELIAS DE PROENCA,MLLE V. ELIAS DE PROENCA",2010,NFVobmo3Zm4zNFZ5VHhzOGFXWkJtUT09
7,victoire pisa jpn m.ps. 3 a.,19,Par: NEO UNIVERSE  et WHITEWATER AFFAIR (MACHIAVELLIAN),T (Corde:05),,Y. ICHIKAWA/T. YOSHIDA,K. SUMII,YUTAKA  TAKE,56 kg,,,,,,,SHADAI FARM,2010,MnRZSnpld2dENHZCQlpydS9RZkRZZz09
8,cavalryman gb m.ps. 4 a.,06,Par: HALLING  et SILVERSWORD (HIGHEST HONOR),1.L (Corde:04),,GODOLPHIN,S. BIN SUROOR,LANFRANCO  DETTORI,"59,5kg",,,,,,,DARLEY STUD MANAGEMENT CO. LTD,2010,U3VRd1hQLzVTU3hVRW9iTkVCTVlkUT09
9,liang kay ger m.ps. 5 a.,10,Par: DAI JIN  et LINTON BAY (FUNAMBULE),4.L (Corde:20),,STALL EMINA,U. OSTMANN,STEPHANE  PASQUIER,"59,5kg",,,,,,,MME IE. ZIMMERMANN,2010,dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09
10,youmzain ire m.ps. 7 a.,01,Par: SINNDAR  et SADIMA (SADLER'S WELLS),(Corde:12),,JABER  ABDULLAH,MR. CHANNON,RICHARD  HUGHES,"59,5kg",,,,,,,F. DUNNE,2010,NnhGZ1B4bXkxSGtiYVFyMG9pN0cyQT09
--,pouvoir absolu (gb) m.ps. 5 a.,04,Par: SADLER'S WELLS  et PINE CHIP (NUREYEV),(Corde:02),,ECURIE WILDENSTEIN,E. LELLOUCHE,SAMUEL  FARGEAT,"59,5kg",,,,,,2,DAYTON INVESTMENTS LTD,2010,SDl5SnR4Rmd6V3oyV0dFNVVTMkcxQT09
--,wiener walzer ger m.ps. 4 a.,05,Par: DYNAFORMER  et WALZERKOENIGIN (KINGMAMBO),(Corde:06),,GESTUT SCHLENDERHAN,J. HIRSCHBERGER,TOM P.  QUEALLY,"59,5kg",,,,,,,GESTUT SCHLENDERHAN,2010,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09
--,timos ger m.ps. 5 a.,08,Par: SHOLOKHOV  et TRICLARIA (SURUMU),(Corde:14),,SUC.  DE MORATALLA,T. DOUMEN (S),KIEREN-FRANCIS  FALLON,"59,5kg",,,,,,,GESTUT ETZEAN,2010,N3pWTlNoMTFVRXd3R3hiVHV4SjVEdz09
--,duncan gb m.ps. 5 a.,09,Par: DALAKHANI  et DOLORES (DANEHILL),(Corde:16),,NORMANDIE STUD LIMITED,J. GOSDEN,WILLIAM  BUICK,"59,5kg",,,,,,,NORMANDIE STUD LIMITED,2010,ME03Q3ZUVFNjN09uSjc2anZVOUdqdz09
--,plumania (gb) f.ps. 4 a.,12,Par: ANABAA  et FEATHERQUEST (RAINBOW QUEST),(Corde:15),,WERTHEIMER & FRERE,A. FABRE,OLIVIER  PESLIER,58 kg,,,,,,,WERTHEIMER & FRERE,2010,R1pOYmw0WDNHVEN5Vk1ZcXpJMVozUT09
--,cape blanco ire m.ps. 3 a.,15,Par: GALILEO  et LAUREL DELIGHT (PRESIDIUM),(Corde:11),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,CHRISTOPHE  SOUMILLON,56 kg,,,,,,1,"J. RONAN,  DES VERE HUNT FARM LTD",2010,OUJEVm4yNXZYaDdFZFEvY1JudlZiUT09
--,lope de vega ire m.ps. 3 a.,17,Par: SHAMARDAL  et LADY VETTORI (VETTORI),(Corde:13),,GESTUT AMMERLAND,A. FABRE,MAXIME  GUYON,56 kg,,,,S,,,GESTUT AMMERLAND,2010,eTRZem96TFdpWjd0SXNHWU92R1h5Zz09
--,midas touch gb m.ps. 3 a.,18,Par: GALILEO  et APPROACH (DARSHAAN),(Corde:18),,MAGNIER/TABOR/SMITH/DENFORD,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,56 kg,,,,,,1,BELGRAVE BLOODSTOCK,2010,dVl6cnIxd1ZTSlg0TVZJK0g4QnVKZz09
DI,planteur (ire) m.ps. 3 a.,16,Par: DANEHILL DANCER  et PLANTE RARE (GIANT'S CAUSEWAY),2.L (Corde:07),,ECURIE WILDENSTEIN,E. LELLOUCHE,ANTHONY  CRASTUS,56 kg,,,,,,2,DAYTON INVESTMENTS LTD,2010,eEhRbUt5dzMvaHNCVGVUM01xL1JMQT09
NP,TULLAMORE,11,CERTIFICAT VETERINAIRE,,,,,,,,,,,,,,2010,aElqYUloS2ZkRzRIVFZXUmpBRTlRUT09
1,danedream ger f.ps. 3 a.,15,Par: LOMITAS  et DANEDROP (DANEHILL),(Corde:02),,GESTUT B. EBERSTEIN/T. YOSHIDA,P. SCHIERGEN,ANDRASCH  STARKE,"54,5kg",2.285.600,,,S,,,GESTUT BRUMMERHOF,2011,Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09
2,shareta (ire) f.ps. 3 a.,13,Par: SINNDAR  et SHAWARA (BARATHEA),5.L (Corde:09),,S.A.   AGA KHAN,A.DE ROYER DUPRE,THIERRY  JARNET,"54,5kg",914.400,,35.204,,,2,S.A.  AGA KHAN,2011,Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09
3,snow fairy ire f.ps. 4 a.,08,Par: INTIKHAB  et WOODLAND DREAM (CHARNWOOD FOREST),ENC (Corde:11),,ANAMOINE LIMITED,EAL. DUNLOP,LANFRANCO  DETTORI,58 kg,457.200,,,,,,WINDFLOWER OVERSEAS HOLD. INC,2011,aEI5WHVyaVVDWGtHZExZWjlOUnBZZz09
4,so you think nz m.ps. 5 a.,06,Par: HIGH CHAPARRAL  et TRIASSIC (TIGHTS),1/2 (Corde:14),,SMITH/MME MAGNIER/TABOR/& CO,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",228.400,,,,,1,"PIPER FARM LTD, MJ. MORAN",2011,bHVNbFlaeFJTRWhPc3NLeksvSSswQT09
5,st nicholas abbey ire m.ps. 4 a.,02,Par: MONTJEU  et LEAPING WATER (SURE BLADE),CTE (Corde:06),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOSEPH PATRICK  O'BRIEN,"59,5kg",114.400,,,,,1,"BARTON BLOODSTOCK,  VILLIERS SYNDICATE",2011,dldoMUVGaE40ZlJLN21YaWkwdXhUQT09
6,meandre  m.ps. 3 a.,10,Par: SLICKLY  et PENNE (SEVRES ROSE),CTE (Corde:10),,FAMILLE ROTHSCHILD,A. FABRE,MAXIME  GUYON,56 kg,,,,S,,,FAMILLE ROTHSCHILD,2011,YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09
7,sarafina  f.ps. 4 a.,07,Par: REFUSE TO BEND  et SANARIYA (DARSHAAN),CTE (Corde:13),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE-PATRICE  LEMAIRE,58 kg,,,,,,2,S.A.  AGA KHAN,2011,aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09
8,silver pond  m.ps. 4 a.,03,Par: ACT ONE  et SILVER FAME (QUEST FOR FAME),3/4 (Corde:15),,SAEED NASSER  AL ROMAITHI,C. LAFFON-PARIAS,MR THIERRY  THULLIEZ,"59,5kg",,,,,,,HARAS DU QUESNAY,2011,QzNZVWIrMnp1SmI5ZTFkMGd3NmlOdz09
9,galikova  f.ps. 3 a.,16,Par: GALILEO  et BORN GOLD (BLUSHING GROOM),4.L (Corde:04),,WERTHEIMER & FRERE,FRE. HEAD (S),OLIVIER  PESLIER,"54,5kg",,,,,,,WERTHEIMER & FRERE,2011,Vmo0cmJtL052cGU0aW4xUVVPNEV4dz09
10,hiruno d'amour jpn m.ps. 4 a.,04,Par: MANHATTAN CAFE  et SHARE ELEGANCE (LAMMTARRA),3/4 (Corde:01),,MASAFUMI  HIRUKAWA,M. KON,SHINJI  FUJITA,"59,5kg",,,,,,,HASHIMOTO BOKUJO,2011,R1hVbXF5bW9rT2ZlK3YxSGU1NmlnZz09
--,workforce gb m.ps. 4 a.,01,Par: KING'S BEST  et SOVIET MOON (SADLER'S WELLS),(Corde:08),,SUC. KHALID  ABDULLAH,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",,,,,,,JUDDMONTE FARMS IRELAND,2011,RXVXVUZDNTBmcW80a1lCNFBpa3Qwdz09
--,nakayama festa jpn m.ps. 5 a.,05,Par: STAY GOLD  et DEAR WINK (TIGHT SPOT),(Corde:16),,SHINICHI  IZUMI,Y. NINOMIYA,MASAYOSHI  EBINA,"59,5kg",,,,,,,ARAI BOKUJO,2011,L0tOWlRjUkdkbWttb3FXeXhpVktzZz09
--,treasure beach gb m.ps. 3 a.,09,Par: GALILEO  et HONORINE (MARK OF ESTEEM),(Corde:12),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,COLM  O'DONOGHUE,56 kg,,,,,,1,ASHLEY HOUSE STUD,2011,TjA5WmVBelpYQnRiSXhBS0Fyck1GUT09
--,masked marvel gb m.ps. 3 a.,11,Par: MONTJEU  et WALDMARK (MARK OF ESTEEM),(Corde:05),,BJORN E.  NIELSEN,J. GOSDEN,WILLIAM  BUICK,56 kg,,,,S,,,NEWSELLS PARK STUD,2011,NjZwRGF3YmhNc2pKbjZ0RTlTSC9IZz09
--,reliable man (gb) m.ps. 3 a.,12,Par: DALAKHANI  et ON FAIR STAGE (SADLER'S WELLS),(Corde:07),,PRIDE RACING CLUB,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,,,,FAIR SALINIA LTD,2011,YkRwb2FOSTN4RktyWFJ3K1dLckVCZz09
--,testosterone (ire) f.ps. 3 a.,14,Par: DANSILI  et EPOPEE (SADLER'S WELLS),(Corde:03),,ECURIE LA BOETIE,P. BARY (S),STEPHANE  PASQUIER,"54,5kg",,,,,,,SCEA  LA POTERIE,2011,M28yQnU3bHkvTy9DYUROOUxKL0hCQT09
1,solemia (ire) f.ps. 4 a.,10,Par: POLIGLOTE  et BROOKLYN'S DANCE (SHIRLEY HEIGHTS),(Corde:06),,WERTHEIMER & FRERE,C. LAFFON-PARIAS,OLIVIER  PESLIER,58 kg,2.285.600,,87.995,,,,WERTHEIMER & FRERE,2012,c3NrdkxkRTJ2bnpBU1Jkckt1M2VkQT09
2,orfevre jpn m.ps. 4 a.,06,Par: STAY GOLD  et ORIENTAL ART (MEJIRO MCQUEEN),ENC (Corde:18),,SUNDAY RACING CO. LTD,Y. IKEE,CHRISTOPHE  SOUMILLON,"59,5kg",914.400,,,,,,SHADAI CORPORATION INC,2012,V0swazNFZzMvaCtad3ZUNTdiNmRVUT09
3,masterstroke usa m.ps. 3 a.,14,Par: MONSUN  et MELIKAH (LAMMTARRA),7.L (Corde:17),,DARLEY SNC,A. FABRE,MICKAEL  BARZALONA,56 kg,457.200,,,,,,DARLEY STUD MANAGEMENT CO. LTD,2012,eXB6YklZaWpoeitGVlN5Tko5MWdyQT09
4,haya landa  f.ps. 4 a.,09,Par: LANDO  et HAYA SAMMA (PIVOTAL),1.L (Corde:01),,MME ODETTE  FAU,MME L. AUDON,FRANCK  BLONDEL,58 kg,228.400,,8.793,,,,MME O. FAU,2012,alJjOVppdmZJZ2RTaGZFMmVqZVZlUT09
5,yellow and green gb f.ps.+,17,Par: MONSUN  et GREEN SWALLOW (GREEN TUNE),1/2 (Corde:03),,S.A. CHEIKH ABDULLAH BIN KHALIFA  AL THA,N. CLEMENT (S),MR THIERRY  THULLIEZ,"54,5kg",114.400,,,,,,NEWSELLS PARK STUD,2012,YjIyaXo3a0RGVVNLMjZZVlFacjkyUT09
6,great heavens gb f.ps. 3 a.,18,Par: GALILEO  et MAGNIFICIENT STYLE (SILVER HAWK),2.5 (Corde:07),,SUC. LADY  ROTHSCHILD,J. GOSDEN,WILLIAM  BUICK,"54,5kg",,,,S,,,KINCORTH INVESTMENTS INC,2012,TFZLdHZSZEpvVkVNSzlxeWM5dm4vZz09
7,camelot gb m.ps. 3 a.,13,Par: MONTJEU  et TARFAH (KINGMAMBO),1.L (Corde:05),,D.SMITH/M.TABOR/MME J.MAGNIER,AP. O'BRIEN,LANFRANCO  DETTORI,56 kg,,,,,,1,CHEIK A. AL KHALIFA,2012,TjEyUFdzSXRsMGdXaXRCcXZWN3gydz09
8,sea moon gb m.ps. 4 a.,01,Par: BEAT HOLLOW  et EVA LUNA (ALLEGED),NEZ (Corde:16),,SUC. KHALID  ABDULLAH,SIR MR. STOUTE,RYAN-LEE  MOORE,"59,5kg",,,,,,,JUDDMONTE FARMS IRELAND,2012,UjRyVVZ3Zi9RSk54WEs0M21IRVB2Zz09
9,shareta (ire) f.ps. 4 a.,08,Par: SINNDAR  et SHAWARA (BARATHEA),T (Corde:11),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE-PATRICE  LEMAIRE,58 kg,,,,,,2,S.A.  AGA KHAN,2012,Y0pQOFZiSnRDb0syczM2cDdvWjNNdz09
10,bayrir  m.ps. 3 a.,11,Par: MEDICEAN  et BALANKIYA (DARSHAAN),2.5 (Corde:14),,S.A.   AGA KHAN,A.DE ROYER DUPRE,GERALD  MOSSE,56 kg,,,,S,,2,S.A.  AGA KHAN,2012,bCtPVWJoQTlRMFNRSG8xd01DdGpuQT09
--,st nicholas abbey ire m.ps. 5 a.,02,Par: MONTJEU  et LEAPING WATER (SURE BLADE),(Corde:10),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,JOSEPH PATRICK  O'BRIEN,"59,5kg",,,,,,1,"BARTON BLOODSTOCK,  VILLIERS SYNDICATE",2012,dldoMUVGaE40ZlJLN21YaWkwdXhUQT09
--,meandre  m.ps. 4 a.,03,Par: SLICKLY  et PENNE (SEVRES ROSE),(Corde:13),,FAMILLE ROTHSCHILD,A. FABRE,MAXIME  GUYON,"59,5kg",,,,,,,FAMILLE ROTHSCHILD,2012,YWhNKzJ4SXd1QWl3MHo3Sm9QYjU0dz09
--,mikhail glinka ire m.ps. 5 a.,04,Par: GALILEO  et LADY KARR (MARK OF ESTEEM),(Corde:09),,RAMZAN  KADYROV,A. SHAVUYEV,MIRCO  DEMURO,"59,5kg",,,,,,,PAULYN LIMITED,2012,VzlEbGlTN0hBd3ZiMTdDMnJwS05TZz09
--,robin hood ire m.ps. 4 a.,05,Par: GALILEO  et BANQUISE (LAST TYCOON),(Corde:12),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",,,,,,1,LYNCH-BAGES LTD,2012,QkhLaXpvdlBPbTdCT1MzK1pKWUhwdz09
--,AVENTINO JPN M.PS. 8 a.,07,Par: JUNGLE POCKET  et ASSAM HILL (SUNDAY SILENCE),(Corde:08),,MME KAZUKO  YOSHIDA,Y. IKEE,ANTHONY  CRASTUS,"59,5kg",,,,,,,SHADAI CORPORATION INC,2012,OVpZYW9WQ1g1cHY5RGhsUGxFSGpqQT09
--,kesampour  m.ps. 3 a.,12,Par: KING'S BEST  et KASATANA (HERNANDO),(Corde:15),,S.A.   AGA KHAN,M. DELZANGLES,GREGORY  BENOIST,56 kg,,,,,,2,S.A.  AGA KHAN,2012,Y1NPME5DajJaSnVhQjgwczVJZlNRQT09
--,ernest hemingway ire m.ps. 3 a.,15,Par: GALILEO  et CASSYDORA (DARSHAAN),(Corde:04),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,COLM  O'DONOGHUE,56 kg,,,,,,1,BARRONSTOWN STUD,2012,d2krK3hvYUhLdlRLZjZMTzRZK2FnUT09
--,saonois  m.ps. 3 a.,16,Par: CHICHICASTENANGO  et SAONOISE (HOMME DE LOI),(Corde:02),,PASCAL  TREYVE,JP. GAUVIN,ANTOINE  HAMELIN,56 kg,,,,S,,,EARL  HARAS DE NONANT LE PIN,2012,YXJKMFBUYzhRSkE5UnhrLzlFNjVnQT09
1,golden horn gb m.ps. 3 a.,16,Par: CAPE CROSS  et FLECHE D'OR (DUBAI DESTINATION),(Corde:14),,ANTHONY  OPPENHEIMER,J. GOSDEN,LANFRANCO  DETTORI,56 kg,2.857.000,,,S,,,HASCOMBE AND VALIANT STUDS,2015,SHpmdDVUam5PNDMyOTJuWDJBVUFidz09
2,flintshire gb m.ps. 5 a.,01,Par: DANSILI  et DANCE ROUTINE (SADLER'S WELLS),2.L (Corde:11),,SUC. KHALID  ABDULLAH,A. FABRE (S),MAXIME  GUYON,"59,5kg",1.143.000,,,,,1,JUDDMONTE FARMS IRELAND,2015,d29nU2FtRTVHbGN3NGl5S2JOUlljdz09
3,new bay gb m.ps. 3 a.,13,Par: DUBAWI  et CINNAMON BAY (ZAMINDAR),ENC (Corde:05),,SUC. KHALID  ABDULLAH,A. FABRE (S),VINCENT  CHEMINAUD,56 kg,571.500,,,,,1,JUDDMONTE FARMS IRELAND,2015,bDVMa1gxTS9QbEY5ZncyMWpCVnU4Zz09
4,treve  f.ps. 5 a.,09,Par: MOTIVATOR  et TREVISE (ANABAA),NEZ (Corde:08),,AL SHAQAB RACING,MME C. HEAD,THIERRY  JARNET,58 kg,285.500,,13.500,,,2,HARAS DU QUESNAY,2015,d2JMa2NYejhOVDh1OUMzNW9CT2c4UT09
5,erupt (ire) m.ps. 3 a.,15,Par: DUBAWI  et MARE NOSTRUM (CAERLEON),1.5 (Corde:04),,FAMILLE  NIARCHOS,FH. GRAFFARD (S),STEPHANE  PASQUIER,56 kg,143.000,,6.750,,,,SUC. S. NIARCHOS,2015,ajVkellKNDFIQnFMQVVmVzVnSmt6dz09
6,free eagle ire m.ps. 4 a.,07,Par: HIGH CHAPARRAL  et POLISHED GEM (DANEHILL),ENC (Corde:12),,MOYGLARE STUD FARM LTD,DK. WELD,SUC. PATRICK JOSEPH  SMULLEN,"59,5kg",,,,,,,MOYGLARE STUD FARM LTD,2015,SGJDenBYdWpaWXFERUJ6eWRBU1lNUT09
7,prince gibraltar  m.ps. 4 a.,05,Par: ROCK OF GIBRALTAR  et PRINCESS SOFIA (PENNEKAMP),CTE (Corde:10),,JEAN-FRANCOIS  GRIBOMONT,JC. ROUGET (S),FABRICE  VERON,"59,5kg",,,,,,,JF. GRIBOMONT,2015,T0FSOXFzQ0VpbVNickZvcm15c0FvQT09
8,siljan's saga  f.ps. 5 a.,11,Par: SAGAMIX  et HUMORISTE (SAINT CYRIEN),CTE (Corde:07),,E. PALLUAT DE BESSET / E. TASSIN,JP. GAUVIN,PIERRE-CHARLES  BOUDOT,58 kg,,,,,,,SUC. A. OUVRY,2015,aGV3WlRQYWh4aHhuZmdWYVJ4M2dWZz09
9,found ire f.ps. 3 a.,18,Par: GALILEO  et RED EVIE (INTIKHAB),1/2 (Corde:15),,M.TABOR/D.SMITH/MME J.MAGNIER,AP. O'BRIEN,RYAN-LEE  MOORE,"54,5kg",,,,,,,"RON CON LTD,  WYNATT,  CHELSTON (IRELAND)",2015,RjBiUHlWMCs1OFJJb3NOd09HdytWdz09
10,silverwave  m.ps. 3 a.,14,Par: SILVER FROST  et MISS BIO (RIVER MIST),T (Corde:17),,HSPIRIT,A. COUETIL (S),JAMES WILLIAM  DOYLE,56 kg,,,,,,,"MLLE ML. COLLET, J. COLLET,MME M. COLLET",2015,eElISExrSmJ5bTJud3BsV0hIa09xdz09
11,manatee gb m.ps. 4 a.,03,Par: MONSUN  et GALATEE (GALILEO),2.L (Corde:01),,DARLEY SNC,A. FABRE (S),MICKAEL  BARZALONA,"59,5kg",,,,,,,DARLEY STUD MANAGEMENT CO. LTD,2015,Y29qVCtTMmJzQXhZYzdvR1A5aVpUQT09
12,spiritjim  m.ps. 5 a.,06,Par: GALILEO  et HIDDEN SILVER (ANABAA),3/4 (Corde:18),,TING KONG  CHENG,A. COUETIL (S),ANDREA  ATZENI,"59,5kg",,,,S,,,"HARAS DES SABLONNETS,COMTE H.DE TALHOUET-ROY,  BLOODSTOCK AMARVILLAS",2015,WERKQUcxZHlmWnphSys3SjB4bXJSZz09
13,dolniya  f.ps. 4 a.,08,Par: AZAMOUR  et DALTAMA (INDIAN RIDGE),4.L (Corde:13),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,58 kg,,,,,,,S.A.  AGA KHAN,2015,WWRNU2l1QUQ4YktjMkZQUFBJRysrdz09
14,frine ire f.ps. 5 a.,10,Par: HIGH CHAPARRAL  et CASTALIA (CARDOUN),3/4 (Corde:06),,DUC  D' ALBURQUERQUE,C. LAFFON-PARIAS,OLIVIER  PESLIER,58 kg,,,,,,,DUC D' ALBURQUERQUE,2015,U3ErcmtqUjhsRDdPS0FheXdpNlBVQT09
15,eagle top gb m.ps. 4 a.,02,Par: PIVOTAL  et GULL WING (IN THE WINGS),ENC (Corde:03),,LADY   BAMFORD,J. GOSDEN,WILLIAM  BUICK,"59,5kg",,,,,,,LADY  BAMFORD,2015,Y1puWTl6ZGpLY2Fvd3UyTmMwQVhlZz09
16,tapestry ire f.ps. 4 a.,12,Par: GALILEO  et RUMPLESTILTSKIN (DANEHILL),15L (Corde:09),,MAGNIER/TABOR/SMITH/FLAXMAN S.,AP. O'BRIEN,JOSEPH PATRICK  O'BRIEN,58 kg,,,,,,,"ORPENDALE,SUC. S. NIARCHOS",2015,a3ZsWE50QllNQ2p2M1hxM2pUQ2d2QT09
17,shahah gb f.ps. 3 a.,17,Par: MOTIVATOR  et ELEGANT BEAUTY (OLDEN TIMES),(Corde:02),,AL SHAQAB RACING,MME C. HEAD,GREGORY  BENOIST,"54,5kg",,,,S,,2,THE KATHRYN STUD,2015,ZkZBbmwrWCt6TklKTHgzOCs5bnd5Zz09
NP,MELEAGROS,04,CERTIFICAT VETERINAIRE,,,,,,,,,,,,,,2015,SCtLRU5VVkVkK1ZGMjVBamZTWTZFUT09
