Place,Cheval,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs,Année,fg_id
1,enable gb f.ps. 3 a.,17,Par: NATHANIEL  et CONCENTRIC (SADLER'S WELLS),(Corde:02),,SUC. KHALID  ABDULLAH,J. GOSDEN,LANFRANCO  DETTORI,55 kg,2.857.000,,,S,,,JUDDMONTE FARMS IRELAND,2017,cHRPK0JXeWl3U2d5a3Y0T0xiSHBQQT09
2,cloth of stars ire m.ps. 4 a.,05,Par: SEA THE STARS  et STRAWBERRY FLEDGE (KINGMAMBO),2.5 (Corde:03),,GODOLPHIN SNC,A. FABRE (S),MICKAEL  BARZALONA,"59,5kg",1.143.000,,,,,,P. ANASTASIOU,2017,c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09
3,ulysses ire m.ps. 4 a.,04,Par: GALILEO  et LIGHT SHIFT (KINGMAMBO),5/4 (Corde:01),,FLAXMAN ST. IRE/CHEVELEY P.S.,SIR MR. STOUTE,JAMES VINCENT  CROWLEY,"59,5kg",571.500,,,,,,FLAXMAN STABLES IRELAND L.T.D,2017,cTd4UlF5R2FGTnRpR0tlNjRWY3RDdz09
4,order of st george ire m.ps. 5 a.,12,Par: GALILEO  et ANOTHER STORM (GONE WEST),1.5 (Corde:09),,TABOR/SMITH/MAGNIER/WILLIAMS,AP. O'BRIEN,DONNACHA AIDAN  O'BRIEN,"59,5kg",285.500,,,,,2,PAGET BLOODSTOCK,2017,SXFsNEYvUmtRVERCV2RSeE93Skl6UT09
5,brametot ire m.ps. 3 a.,14,Par: RAJSAMAN  et MORNING LIGHT (LAW SOCIETY),5/4 (Corde:04),,AL SHAQAB/G. AUGUSTIN-NORMAND,JC. ROUGET (S),CRISTIAN  DEMURO,"56,5kg",143.000,,,,,1,H. CARDEMIL,2017,M0FkVEhqWWFwdkMrTWw3VGtTa3VuUT09
6,dschingis secret ger m.ps. 4 a.,08,Par: SOLDIER HOLLOW  et DIVYA (PLATINI),1/2 (Corde:10),,HORST  PUDWILL,M. KLUG,ADRIE DE VRIES,"59,5kg",,,,,,,GESTUT PARK WIEDINGEN,2017,K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09
7,iquitos ger m.ps. 5 a.,11,Par: ADLERFLUG  et IRIKA (AREION),T (Corde:06),,STALL MULLIGAN,HJ. GROSCHEL,ANDRASCH  STARKE,"59,5kg",,,,,,,MME E. BUHMANN,2017,TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09
8,idaho ire m.ps. 4 a.,07,Par: GALILEO  et HVEGER (DANEHILL),NEZ (Corde:07),,M.TABOR/D.SMITH/MME J.MAGNIER,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",,,,,,2,HVEGER SYNDICATE,2017,TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09
9,winter ire f.ps. 3 a.,18,Par: GALILEO  et LADDIES POKER TWO (CHOISIR),ENC (Corde:08),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,RYAN-LEE  MOORE,55 kg,,,,,,,LADDIES POKER TWO SYNDICATE,2017,d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09
10,zarak  m.ps. 4 a.,01,Par: DUBAWI  et ZARKAVA (ZAMINDAR),3/4 (Corde:18),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,S.A.  AGA KHAN,2017,bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09
