Place,Cheval,N°,Père/Mère,Écart au précédent,Couleurs,Propriétaire,Entraîneur,Jockey,Poids,Gain,Prim. prop.,Prim. elev.,Suppl.,Œil.,Écurie.,Éleveurs,Année
6,K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09,08,Par: SOLDIER HOLLOW  et DIVYA (PLATINI),1/2 (Corde:10),,HORST  PUDWILL,M. KLUG,ADRIE DE VRIES,"59,5kg",,,,,,,GESTUT PARK WIEDINGEN,2017
7,TTFWM04rREc0aTFGcVl2Zyt5dVZJZz09,11,Par: ADLERFLUG  et IRIKA (AREION),T (Corde:06),,STALL MULLIGAN,HJ. GROSCHEL,ANDRASCH  STARKE,"59,5kg",,,,,,,MME E. BUHMANN,2017
8,TVhMSVg4TlJHU2EwZFVuVHFsRVVXUT09,07,Par: GALILEO  et HVEGER (DANEHILL),NEZ (Corde:07),,M.TABOR/D.SMITH/MME J.MAGNIER,AP. O'BRIEN,JAMES-ANTHONY  HEFFERNAN,"59,5kg",,,,,,2,HVEGER SYNDICATE,2017
9,d2huMXJ6SFNpbkR6aXNzUUlnZ2tlUT09,18,Par: GALILEO  et LADDIES POKER TWO (CHOISIR),ENC (Corde:08),,MME J. MAGNIER/M.TABOR/D.SMITH,AP. O'BRIEN,RYAN-LEE  MOORE,55 kg,,,,,,,LADDIES POKER TWO SYNDICATE,2017
10,bU9FemMxZEZsMUdNdmF1SkFhM3BZZz09,01,Par: DUBAWI  et ZARKAVA (ZAMINDAR),3/4 (Corde:18),,S.A.   AGA KHAN,A.DE ROYER DUPRE,CHRISTOPHE  SOUMILLON,"59,5kg",,,,,,,S.A.  AGA KHAN,2017
11,RWR5RWt3QWVRWFdnRitibDhxbGh0UT09,03,Par: FASTNET ROCK  et PRIDE (PEINTRE CELEBRE),ENC (Corde:11),,FAIR SALINIA LTD,A.DE ROYER DUPRE,JAMES WILLIAM  DOYLE,"59,5kg",,,,,,,CRAIGAVON AGRO LTD,2017
12,NUp0OVJCUU5CVENhQUczcVJ4Y2JpZz09,02,Par: SHAMARDAL  et CRYSTAL REEF (KING'S BEST),ENC (Corde:12),,AL SHAQAB RACING,A. FABRE (S),GREGORY  BENOIST,"59,5kg",,,,,,1,ECURIE HARAS BOUQUETOT SAS,2017
13,YXVNNGJ2ejN5Tmh3emJqZ0xocEh3Zz09,16,Par: DUBAWI  et PLUMANIA (ANABAA),1.5 (Corde:14),,WERTHEIMER & FRERE,A. FABRE (S),MAXIME  GUYON,"56,5kg",,,,,,,WERTHEIMER & FRERE,2017
14,NHZoWlVHMUxmNmFIeUdTa09jbDB5dz09,13,Par: GALILEO  et LA TRAVIATA (JOHANNESBURG),1/2 (Corde:17),,D.SMITH/MME J.MAGNIER/M.TABOR,AP. O'BRIEN,SUC. PATRICK JOSEPH  SMULLEN,58 kg,,,,,,4,LA TRAVIATA SYNDICATE,2017
15,WFRSdmloSlRtRmJXNGtORzR4ckFRQT09,09,Par: DEEP IMPACT  et MALPENSA (ORPEN),T (Corde:13),,HAJIME  SATOMI,Y. IKEE,CHRISTOPHE-PATRICE  LEMAIRE,"59,5kg",,,,,,3,NORTHERN RACING,2017
