,AnneeNaissance,NomCheval,NumSire,Race,Sexe,Suffixe,link
59,2016,SCHIAPARELLI             ,R2VpNXlyd0cyYzBzbWVhY0dLUk8zUT09,AR   ,F,FR ,/fr/cheval/R2VpNXlyd0cyYzBzbWVhY0dLUk8zUT09
60,2012,HIGHLAND REEL            ,QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09,PS   ,M,IRE,/fr/cheval/QUZJRXFPMDJrZGhUM2J2anJBbjlvdz09
61,2005,DUNCAN                   ,ME03Q3ZUVFNjN09uSjc2anZVOUdqdz09,PS   ,M,GB ,/fr/cheval/ME03Q3ZUVFNjN09uSjc2anZVOUdqdz09
62,2005,STEELE TANGO             ,TWNvYXlyZytKS1pqaGpVbG01bE1LQT09,PS   ,M,USA,/fr/cheval/TWNvYXlyZytKS1pqaGpVbG01bE1LQT09
63,2010,CHICQUITA                ,eTNtTHY4SXAxczc5ajZOTVp0OWxMZz09,PS   ,F,IRE,/fr/cheval/eTNtTHY4SXAxczc5ajZOTVp0OWxMZz09
64,2017,RAABIHAH                 ,L21YajJPdkRTQkVURUtZSnozMm1HUT09,PS   ,F,USA,/fr/cheval/L21YajJPdkRTQkVURUtZSnozMm1HUT09
65,2013,LEFT HAND                ,czU4dVB6aEQxV01OeGNYMFpuaW11Zz09,PS   ,F,GB ,/fr/cheval/czU4dVB6aEQxV01OeGNYMFpuaW11Zz09
66,2015,SEA OF CLASS             ,MnlGN1A4ZHhhYWlLM3ZsVTBZaUhNdz09,PS   ,F,IRE,/fr/cheval/MnlGN1A4ZHhhYWlLM3ZsVTBZaUhNdz09
67,2006,NAKAYAMA FESTA           ,L0tOWlRjUkdkbWttb3FXeXhpVktzZz09,PS   ,M,JPN,/fr/cheval/L0tOWlRjUkdkbWttb3FXeXhpVktzZz09
68,2008,TREASURE BEACH           ,TjA5WmVBelpYQnRiSXhBS0Fyck1GUT09,PS   ,M,GB ,/fr/cheval/TjA5WmVBelpYQnRiSXhBS0Fyck1GUT09
69,2011,MANATEE                  ,Y29qVCtTMmJzQXhZYzdvR1A5aVpUQT09,PS   ,M,GB ,/fr/cheval/Y29qVCtTMmJzQXhZYzdvR1A5aVpUQT09
70,2009,SAONOIS                  ,YXJKMFBUYzhRSkE5UnhrLzlFNjVnQT09,PS   ,M,FR ,/fr/cheval/YXJKMFBUYzhRSkE5UnhrLzlFNjVnQT09
71,2005,CIMA DE TRIOMPHE         ,aUtYaVhKMkJzQzFEblB5Q0NsU09hZz09,PS   ,M,IRE,/fr/cheval/aUtYaVhKMkJzQzFEblB5Q0NsU09hZz09
72,2005,POUVOIR ABSOLU           ,SDl5SnR4Rmd6V3oyV0dFNVVTMkcxQT09,PS   ,M,GB ,/fr/cheval/SDl5SnR4Rmd6V3oyV0dFNVVTMkcxQT09
73,2007,SILVER POND              ,QzNZVWIrMnp1SmI5ZTFkMGd3NmlOdz09,PS   ,M,FR ,/fr/cheval/QzNZVWIrMnp1SmI5ZTFkMGd3NmlOdz09
74,2001,SEVENTH HEAVEN           ,YldBVGFrelh6VkpqRWtnOTVUYWR4UT09,AR   ,F,FR ,/fr/cheval/YldBVGFrelh6VkpqRWtnOTVUYWR4UT09
75,2009,JUST A WAY               ,RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09,PS   ,M,JPN,/fr/cheval/RVl2a3lEc1FkYTlvdW1mV0FSRXdOUT09
76,2005,ZARKAVA                  ,YWNmUDA5eEQ3dFgyNElBa3B0MlRJQT09,PS   ,F,IRE,/fr/cheval/YWNmUDA5eEQ3dFgyNElBa3B0MlRJQT09
77,2009,GOLD SHIP                ,MlZBWmg3bVdCRmdqQzIxQ0lELzdIUT09,PS   ,M,JPN,/fr/cheval/MlZBWmg3bVdCRmdqQzIxQ0lELzdIUT09
78,2007,SARAFINA                 ,aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09,PS   ,F,FR ,/fr/cheval/aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09
79,2013,DSCHINGIS SECRET         ,K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09,PS   ,M,GER,/fr/cheval/K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09
80,2004,DUKE OF MARMALADE        ,NUd5ZTFPNUQwNmp4OGlsY0hwOVliQT09,PS   ,M,IRE,/fr/cheval/NUd5ZTFPNUQwNmp4OGlsY0hwOVliQT09
81,2015,PATASCOY                 ,MGhOQitWN0dBWE1aYWNXbXNQemNKZz09,PS   ,H,FR ,/fr/cheval/MGhOQitWN0dBWE1aYWNXbXNQemNKZz09
82,2003,ASK                      ,TUlnUHpYTm15RUo2Q2NVSjFqU0pDUT09,PS   ,M,GB ,/fr/cheval/TUlnUHpYTm15RUo2Q2NVSjFqU0pDUT09
83,2010,SATONO NOBLESSE          ,cnphcHp4eGdSNHFJOVBFYk05MmZBZz09,PS   ,M,JPN,/fr/cheval/cnphcHp4eGdSNHFJOVBFYk05MmZBZz09
84,2010,KIZUNA                   ,UVFkMzhzblJXZ2pma04rVDRYTGV6dz09,PS   ,M,JPN,/fr/cheval/UVFkMzhzblJXZ2pma04rVDRYTGV6dz09
85,2009,KESAMPOUR                ,Y1NPME5DajJaSnVhQjgwczVJZlNRQT09,PS   ,M,FR ,/fr/cheval/Y1NPME5DajJaSnVhQjgwczVJZlNRQT09
86,2014,DEFOE                    ,dytmNjY1aXBDZzhnc1R2U2VlTk42dz09,PS   ,H,IRE,/fr/cheval/dytmNjY1aXBDZzhnc1R2U2VlTk42dz09
87,2009,MASTERSTROKE             ,eXB6YklZaWpoeitGVlN5Tko5MWdyQT09,PS   ,M,USA,/fr/cheval/eXB6YklZaWpoeitGVlN5Tko5MWdyQT09
88,2007,WORKFORCE                ,RXVXVUZDNTBmcW80a1lCNFBpa3Qwdz09,PS   ,M,GB ,/fr/cheval/RXVXVUZDNTBmcW80a1lCNFBpa3Qwdz09
89,1995,ROBIN HOOD               ,ZE8wV2g4Sks0MUpGYmZwVFV4WXpuQT09,PS   ,H,SWI,/fr/cheval/ZE8wV2g4Sks0MUpGYmZwVFV4WXpuQT09
